Year,Date,DayOfMonth,Month,ReferenceName
2000,Apr 01,1,4,NIHON-KOKI
2000,Apr 14,14,4,NIHON-KOKI
2000,Apr 05,5,4,NIHON-KOKI
2000,Apr 17,17,4,MONTOKUTENNO-JITSUROKU
2000,Apr 13,13,4,MONTOKUTENNO-JITSUROKU
2000,Apr 09,9,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 15,15,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 04,4,4,KANKE-BUNSOU
2000,Apr 13,13,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 18,18,4,NIHONKIRYAKU
2000,Apr 17,17,4,FUSHIMIIN-GOKIROKKU
2000,Apr 15,15,4,KANKE-BUNSOU
2000,Apr 13,13,4,NIHONKIRYAKU
2000,Apr 13,13,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 11,11,4,EST-from-WF(NIHONGI-RYAKU)
2000,Apr 07,7,4,EST-from-WF(KIMITADA-SHU)
2000,Apr 04,4,4,SHINGISHIKI
2000,Apr 19,19,4,SHUI-WAKASHU
2000,Apr 04,4,4,KINHISHO
2000,Apr 13,13,4,ZOKU-KOKIN-WAKASHU
2000,Apr 07,7,4,NIHONKIRYAKU
2000,Apr 06,6,4,EST-from-WF(SHIRYO-SORAN)
2000,Apr 15,15,4,EST-from-WF(SHIRYO-SORAN)
2000,Apr 18,18,4,NIHONKIRYAKU
2000,Apr 16,16,4,NIHONKIRYAKU
2000,Apr 04,4,4,DAINIHON-SHIRYO
2000,Mar 29,29,3,SHUISHO
2000,Apr 21,21,4,NIHONKIRYAKU
2000,Apr 18,18,4,NIHONKIRYAKU
2000,Apr 06,6,4,KYUREKI
2000,Apr 10,10,4,KYUREKI
2000,Mar 27,27,3,NIHONKIRYAKU
2000,Apr 03,3,4,NIHONKIRYAKU
2000,Apr 13,13,4,NIHONKIRYAKU
2000,Apr 07,7,4,NIHONKIRYAKU
2000,Apr 12,12,4,NIHONKIRYAKU
2000,Apr 07,7,4,NIHONKIRYAKU
2000,Apr 16,16,4,EST-from-WF(SHIRYO-SORAN)
2000,Apr 17,17,4,NIHONKIRYAKU
2000,Apr 10,10,4,NIHONKIRYAKU
2000,Apr 21,21,4,FUSO-RYAKKI
2000,Apr 13,13,4,DAINIHON-SHIRYO
2000,Apr 03,3,4,SHOYUKI
2000,Apr 09,9,4,SHOYUKI
2000,Apr 13,13,4,EIGA-MONOGATARI(MIHATENUYUME)
2000,Apr 14,14,4,MIDO-KAMPAKUKI
2000,Apr 26,26,4,MIDO-KAMPAKUKI
2000,Apr 09,9,4,NIHONKIRYAKU
2000,Apr 15,15,4,MIDO-KAMPAKUKI
2000,Apr 24,24,4,DAI-SAIIN-GYOSHU
2000,Apr 20,20,4,MIDO-KAMPAKUKI
2000,Apr 08,8,4,MIDO-KAMPAKUKI
2000,Apr 22,22,4,MIDO-KAMPAKUKI
2000,Apr 07,7,4,SHOYUKI
2000,Apr 25,25,4,REKIDAI-HENNEN-SHUSEI
2000,Apr 06,6,4,SHOYUKI
2000,Apr 20,20,4,NIHONKIRYAKU
2000,Apr 11,11,4,NIHONKIRYAKU
2000,Apr 05,5,4,EST-from-WF(EIGA-MONOGATARI)
2000,Apr 13,13,4,NIHONKIRYAKU
2000,Apr 12,12,4,FUSO-RYAKKI
2000,Apr 12,12,4,EIGA-MONOGATARI(NEAWASE)
2000,Apr 21,21,4,IETSUNE-ASON-SHU
2000,Apr 14,14,4,EIGA-MONOGATARI(NEAWASE)
2000,Apr 17,17,4,SHIN-SENZAI-WAKASHU
2000,Apr 01,1,4,MOROZANE-SHU
2000,Apr 14,14,4,SUISAKI
2000,Apr 22,22,4,SHUGAKKAIKI
2000,Apr 12,12,4,EIGA-MONOGATARI(MATSUNO-SHIDUE)
2000,Apr 11,11,4,SUISAKI
2000,Apr 05,5,4,GONIJO-MOROMICHIKI
2000,Apr 29,29,4,ZOKU-GOSEN-WAKASHU
2000,Apr 13,13,4,GONIJO-MOROMICHIKI
2000,Apr 14,14,4,GONIJO-MOROMICHIKI
2000,Apr 14,14,4,GONIJO-MOROMICHIKI
2000,Apr 09,9,4,CHUYUKI
2000,Apr 05,5,4,GONIJO-MOROMICHIKI
2000,Apr 09,9,4,CHUYUKI
2000,Apr 12,12,4,GONIJO-MOROMICHIKI
2000,Apr 13,13,4,CHUYUKI
2000,Apr 17,17,4,DENRYAKU
2000,Apr 23,23,4,CHUYUKI
2000,Apr 14,14,4,CHUYUKI
2000,Apr 22,22,4,EISHOKI
2000,Apr 13,13,4,CHUYUKI
2000,Apr 09,9,4,DENRYAKU
2000,Apr 18,18,4,DENRYAKU
2000,Apr 11,11,4,MISSHU-KETSUMYAKUSHO
2000,Apr 13,13,4,DAIGO-ZOJIKI
2000,Apr 21,21,4,DAIGO-ZOJIKI
2000,Apr 07,7,4,DAIGO-ZOJIKI
2000,Apr 20,20,4,DAIGOJI-ZATSUYO
2000,Apr 17,17,4,DAIGOJI-ZATSUYO
2000,Apr 16,16,4,DAIGO-ZOJIKI
2000,Apr 20,20,4,DAIGO-ZOJIKI
2000,Apr 15,15,4,DAIGO-ZOJIKI
2000,Apr 12,12,4,DAIGO-ZOJIKI
2000,Apr 12,12,4,DAIGOJI-ZATSUYO
2000,Apr 15,15,4,DAIGOJI-ZATSUYO
2000,Apr 22,22,4,DAIGOJI-ZATSUYO
2000,Apr 12,12,4,DAIGO-ZOJIKI
2000,Apr 20,20,4,DAIGOJI-ZATSUYO
2000,Apr 19,19,4,DAIGOJI-ZATSUYO
2000,Apr 16,16,4,TAIKI
2000,Apr 18,18,4,EST-from-WF(HONCHO-SEIKI)
2000,Apr 05,5,4,TAIKI
2000,Apr 12,12,4,DAIGOJI-ZATSUYO
2000,Apr 21,21,4,DAIGOJI-ZATSUYO
2000,Apr 21,21,4,DAIGOJI-ZATSUYO
2000,Apr 09,9,4,DAIGOJI-ZATSUYO
2000,Apr 15,15,4,DAIGOJI-ZATSUYO
2000,Apr 04,4,4,DAIGOJI-ZATSUYO
2000,Apr 20,20,4,DAIGOJI-ZATSUYO
2000,Apr 21,21,4,DAIGOJI-ZATSUYO
2000,Apr 22,22,4,DAIGOJI-ZATSUYO
2000,Apr 12,12,4,DAIGOJI-ZATSUYO
2000,Apr 26,26,4,DAIGOJI-ZATSUYO
2000,Apr 21,21,4,DAIGOJI-ZATSUYO
2000,Apr 22,22,4,DAIGOJI-ZATSUYO
2000,Apr 22,22,4,TAKAKURAIN-ANGEN-ONGAKI
2000,Apr 12,12,4,SANKAIKI
2000,Apr 07,7,4,MEIGETSUKI
2000,Apr 13,13,4,TSUKIMOUDE-WAKASHU(PART-3)
2000,Apr 10,10,4,DAIGOJI-ZATSUYO
2000,Apr 24,24,4,GYOKUYO
2000,Apr 24,24,4,DAIGO-ZOJIKI
2000,Apr 13,13,4,SAKURAE-RUIJU
2000,Apr 16,16,4,SAKURAE-RUIJU
2000,Apr 21,21,4,SHUGYOKU-SHU
2000,Apr 15,15,4,GYOKUYO
2000,Apr 28,28,4,NAKASUKEOKI
2000,Apr 18,18,4,INOKUMA-KAMPAKUKI
2000,Apr 13,13,4,INOKUMA-KAMPAKUKI
2000,Apr 05,5,4,INOKUMA-KAMPAKUKI
2000,Apr 15,15,4,MEIGETSUKI
2000,Apr 14,14,4,(SHIRYO-SORAN)
2000,Apr 19,19,4,MEIGETSUKI
2000,Apr 14,14,4,MEIGETSUKI
2000,Apr 13,13,4,MEIGETSUKI
2000,Apr 21,21,4,ASUKAI-SHU
2000,Apr 07,7,4,GYOKUSOU
2000,Apr 16,16,4,SHIKIN-WAKASO
2000,Apr 11,11,4,(SHIRYO-SORAN)
2000,Apr 17,17,4,MICHIIEKO-MARINIKKI
2000,Apr 10,10,4,JUNTOKUIN-GYOSHU
2000,Apr 10,10,4,JUNTOKUIN-GYOSHU
2000,Apr 18,18,4,EST-from-KJ(NORIMUNE-SHU)
2000,Apr 08,8,4,SHUI-GUSO
2000,Apr 25,25,4,MITSUTSUNE-SHU
2000,Apr 14,14,4,MEIGETSUKI
2000,Apr 15,15,4,MEIGETSUKI
2000,Apr 20,20,4,MEIGETSUKI
2000,Apr 06,6,4,MEIGETSUKI
2000,Apr 11,11,4,MEIGETSUKI
2000,Apr 10,10,4,MINKEIKI
2000,Apr 01,1,4,MINKEIKI
2000,Apr 14,14,4,MEIGETSUKI
2000,Apr 19,19,4,MEIGETSUKI
2000,Mar 27,27,3,SHIIBA-WAKASHU
2000,Apr 15,15,4,SAMPOIN-MONJO
2000,Apr 17,17,4,HEIKOKI
2000,Apr 17,17,4,HEIKOKI
2000,Apr 07,7,4,MASUKAGAMI
2000,Apr 15,15,4,ZOKU-HONCHOTSUKAN
2000,Apr 17,17,4,BENN-NO-NAISHI-NIKKI
2000,Apr 25,25,4,BENN-NO-NAISHI-NIKKI
2000,Apr 09,9,4,BENN-NO-NAISHI-NIKKI
2000,Apr 19,19,4,SAKURAE-RUIJU
2000,Apr 03,3,4,TSUNETOSHI-KYOKI
2000,Apr 05,5,4,MASUKAGAMI
2000,Apr 06,6,4,EST-from-KJ(KUJOKE-REKISEI-KIROKU)
2000,Apr 29,29,4,ZOKU-HONCHOTSUKAN
2000,Apr 12,12,4,ZOKU-SHIGUSHO
2000,Apr 07,7,4,TAMEIE-SHU
2000,Apr 14,14,4,MISININ-KAMPAKUKI
2000,Apr 12,12,4,TAMEIE-SHU
2000,Apr 09,9,4,ZOKU-SHIGUSHO
2000,Apr 09,9,4,DAINAGON-TAMEIE-SHU
2000,Apr 16,16,4,TOWAZUGATARI
2000,Apr 22,22,4,ZOKU-SHIGUSHO(DAIGO)
2000,Apr 10,10,4,KANCHUKI
2000,Apr 11,11,4,HARUNO-MIYAMAJI
2000,Apr 12,12,4,(SHIRYO-SORAN)
2000,Apr 11,11,4,NAKANOTSUKASA-NIKKI
2000,Apr 14,14,4,ZOKU-HONCHOTSUKAN
2000,Apr 21,21,4,ZOKU-SHIGUSHO
2000,Apr 19,19,4,SANEMI-KYOKI
2000,Apr 17,17,4,NAKANOTSUKASA-NIKKI
2000,Apr 16,16,4,NAKANOTSUKASA-NIKKI
2000,Apr 16,16,4,SANEMI-KYOKI
2000,Apr 10,10,4,KANCHUKI
2000,Apr 11,11,4,(DAINIHON-SHIRYO)
2000,Apr 04,4,4,SANEMI-KYOKI
2000,Apr 05,5,4,ZOKU-SHIGUSHO
2000,Apr 13,13,4,ZOKU-SHIGUSHO
2000,Apr 03,3,4,ENTAIRYAKU
2000,Apr 09,9,4,HANAZONOTENNO-SHINKI
2000,Apr 10,10,4,HANAZONOTENNO-SHINKI
2000,Apr 20,20,4,ZOKU-SHIGUSHO
2000,Apr 12,12,4,ZOKU-SHIGUSHO
2000,Apr 11,11,4,HANAZONOTENNO-SHINKI
2000,Apr 25,25,4,HANAZONOTENNO-SHINKI
2000,Apr 11,11,4,HANAZONOTENNO-SHINKI
2000,Apr 15,15,4,HANAZONOTENNO-SHINKI
2000,May 03,3,5,HANAZONOTENNO-SHINKI
2000,Apr 07,7,4,HANAZONOTENNO-SHINKI
2000,Apr 16,16,4,ZOKU-SHIGUSHO
2000,Apr 21,21,4,EST-from-KJ(SHOKA-WAKASHU)
2000,Apr 17,17,4,RINEI-WAKASHU
2000,Apr 21,21,4,ZOKU-SHIGUSHO
2000,Apr 24,24,4,ZOKU-HONCHOTSUKAN
2000,Apr 19,19,4,MICHIFUYU-KYOKI
2000,Apr 11,11,4,ZOKU-SHIGUSHO
2000,Apr 16,16,4,ENTAIRYAKU
2000,Apr 18,18,4,MOROMORIKI
2000,Apr 21,21,4,ZOKU-SHIGUSHO
2000,Apr 10,10,4,(SHIRYO-SORAN)
2000,Apr 24,24,4,(SHIRYO-SORAN)
2000,Apr 26,26,4,MOROMORIKI
2000,Apr 16,16,4,ENTAIRYAKU
2000,Apr 19,19,4,GUKANKI
2000,Apr 14,14,4,GUKANKI
2000,Apr 10,10,4,GUKANKI
2000,Apr 17,17,4,GUKANKI
2000,Apr 16,16,4,MOROMORIKI
2000,Apr 19,19,4,MOROMORIKI
2000,Apr 21,21,4,ZOKU-HONCHOTSUKAN
2000,Apr 06,6,4,GUKANKI
2000,Mar 28,28,3,GUKANKI
2000,Apr 03,3,4,GOGUMAISHO
2000,Apr 18,18,4,GOGUMAISHO
2000,Apr 11,11,4,EST-from-WF(GUKANKI)
2000,Apr 19,19,4,GUKANKI
2000,Apr 12,12,4,GUKANKI
2000,Apr 08,8,4,GUKANKI
2000,Apr 14,14,4,KUJO-TADAMOTO-NIKKI
2000,Apr 13,13,4,(SHIRYO-SORAN)
2000,Apr 12,12,4,GUKANKI
2000,Apr 11,11,4,EST-from-WF(ZOKU-SHIGUSHO)
2000,Apr 17,17,4,EITOKU-GANNEN-GYOKO-SHIIKA
2000,Apr 14,14,4,KUGE-NICHIYO-KUFU-RYAKUSHU
2000,Apr 11,11,4,KUGE-NICHIYO-KUFU-RYAKUSHU
2000,Apr 07,7,4,KUGE-NICHIYO-KUFU-RYAKUSHU
2000,Apr 08,8,4,ATOKAGAMI
2000,Apr 14,14,4,ATOKAGAMI
2000,Apr 09,9,4,SANEFUYU-KOKI
2000,Apr 08,8,4,KANENOBU-KOKI
2000,Apr 15,15,4,GEIYOKI
2000,Apr 10,10,4,ATOKAGAMI
2000,Apr 12,12,4,YOSHIDAKE-HINAMIKI
2000,Apr 13,13,4,YOSHIDAKE-HINAMIKI
2000,Apr 11,11,4,(SHIRYO-SORAN)
2000,Apr 10,10,4,(SHIRYO-SORAN)
2000,Apr 20,20,4,ZOKU-HONCHOTSUKAN
2000,Mar 26,26,3,(DAINIHON-SHIRYO)
2000,Apr 11,11,4,NORITOKI-KYOKI
2000,Apr 02,2,4,(DAINIHON-SHIRYO)
2000,Mar 31,31,3,ATOKAGAMI
2000,Apr 14,14,4,(DAINIHON-SHIRYO)
2000,Apr 10,10,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 18,18,4,(DAINIHON-SHIRYO)
2000,Apr 07,7,4,KANMON-GYOKI
2000,Apr 09,9,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 21,21,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 08,8,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 18,18,4,YASUTOMIKI
2000,Apr 05,5,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 12,12,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 07,7,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 08,8,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 11,11,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 07,7,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 17,17,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 11,11,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 13,13,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 07,7,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 22,22,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 04,4,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 10,10,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 12,12,4,KANMON-GYOKI
2000,Apr 08,8,4,INRYOGEN-NICHIROKU
2000,Apr 10,10,4,INRYOGEN-NICHIROKU
2000,Apr 07,7,4,MOROSATOKI
2000,Apr 14,14,4,INRYOGEN-NICHIROKU
2000,Apr 16,16,4,KANMON-GYOKI
2000,Apr 18,18,4,YASUTOMIKI
2000,Apr 17,17,4,GYOUKO-HOIN-NIKKI
2000,Apr 20,20,4,SOKONSHU
2000,Apr 05,5,4,YASUTOMIKI
2000,Apr 04,4,4,ZOKU-HONCHOTSUKAN
2000,Apr 09,9,4,YASUTOMIKI
2000,Apr 12,12,4,YASUTOMIKI
2000,Apr 01,1,4,ZOKU-SHIGUSHO
2000,Apr 16,16,4,SOKONSHU
2000,Apr 14,14,4,SOKONSHU
2000,Apr 05,5,4,GAUN-NIKKENROKU-BATSUYU
2000,Apr 15,15,4,MOROSATOKI
2000,Apr 14,14,4,ZOKU-HONCHOTSUKAN
2000,Apr 21,21,4,INRYOGEN-NICHIROKU
2000,Apr 22,22,4,INRYOGEN-NICHIROKU
2000,Apr 20,20,4,INRYOGEN-NICHIROKU
2000,Apr 15,15,4,INRYOGEN-NICHIROKU
2000,Apr 15,15,4,INRYOGEN-NICHIROKU
2000,Apr 10,10,4,INRYOGEN-NICHIROKU
2000,Apr 13,13,4,INRYOGEN-NICHIROKU
2000,Apr 07,7,4,INRYOGEN-NICHIROKU
2000,Apr 14,14,4,INRYOGEN-NICHIROKU
2000,Apr 10,10,4,EST-from-WF(GOHOKOINKI)
2000,Apr 10,10,4,HEKIZAN-NICHIROKU
2000,Apr 23,23,4,CHIKANAGA-KYOKI
2000,Apr 07,7,4,ENROKUCHOKASHU
2000,Apr 09,9,4,SANETAKA-KOKI
2000,Apr 19,19,4,OYUDONONO-UENO-NIKKI
2000,Apr 24,24,4,SANETAKA-KOKI
2000,Apr 19,19,4,SANETAKA-KOKI
2000,Apr 13,13,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 15,15,4,SANETAKA-KOKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 10,10,4,OYUDONONO-UENO-NIKKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 03,3,4,OYUDONONO-UENO-NIKKI
2000,Apr 08,8,4,OYUDONONO-UENO-NIKKI
2000,Apr 02,2,4,SANETAKA-KOKI
2000,Apr 12,12,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,(SHIRYO-SHORAN)
2000,Apr 06,6,4,INRYOGEN-NICHIROKU
2000,Apr 16,16,4,SANETAKA-KOKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,OYUDONONO-UENO-NIKKI
2000,Apr 15,15,4,OYUDONONO-UENO-NIKKI
2000,Apr 03,3,4,OYUDONONO-UENO-NIKKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 17,17,4,CHIKANAGA-KYOKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 12,12,4,SANETAKA-KOKI
2000,Apr 24,24,4,NOBUTANE-KYOKI
2000,Apr 17,17,4,SANETAKA-KOKI
2000,Apr 23,23,4,SANETAKA-KOKI
2000,Apr 15,15,4,NISUIKI
2000,Apr 15,15,4,MOTONAGA-KYOKI
2000,Apr 17,17,4,MOTONAGA-KYOKI
2000,Apr 20,20,4,SANETAKA-KOKI
2000,Apr 11,11,4,SANETAKA-KOKI
2000,Apr 19,19,4,SANETAKA-KOKI
2000,Apr 20,20,4,SANETAKA-KOKI
2000,Apr 18,18,4,SANETAKA-KOKI
2000,Apr 19,19,4,SANETAKA-KOKI
2000,Apr 14,14,4,MORIMITSU-KOKI
2000,Apr 20,20,4,SAISHOSO
2000,Apr 13,13,4,SAISHOSO
2000,Apr 15,15,4,NISUIKI
2000,Apr 24,24,4,NISUIKI
2000,Apr 20,20,4,NISUIKI
2000,Apr 14,14,4,NISUIKI
2000,Apr 16,16,4,NISUIKI
2000,Apr 12,12,4,NISUIKI
2000,Apr 18,18,4,SANETAKA-KOKI
2000,Apr 18,18,4,SANETAKA-KOKI
2000,Apr 13,13,4,NISUIKI
2000,Apr 22,22,4,NISUIKI
2000,Apr 14,14,4,NISUIKI
2000,Apr 15,15,4,NISUIKI
2000,Apr 16,16,4,SANETAKA-KOKI
2000,Apr 16,16,4,NISUIKI
2000,Apr 12,12,4,NISUIKI
2000,Apr 17,17,4,SANETAKA-KOKI
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 17,17,4,GONARAIN-GYOSEI-BASSHO
2000,Apr 04,4,4,GONARAIN-SHINNKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 21,21,4,NINAGAWA-CHIKATOSHI-NIKKI
2000,Apr 29,29,4,OYUDONONO-UENO-NIKKI [EDA]
2000,May 01,1,5,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 11,11,4,TOKITSUGU-KYOKI
2000,Apr 28,28,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 16,16,4,TOKITSUGU-KYOKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 21,21,4,TOKITSUGU-KYOKI
2000,Apr 13,13,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 27,27,4,TOKITSUGU-KYOKI
2000,Apr 26,26,4,(SHIRYO-SORAN)
2000,Apr 20,20,4,TOKITSUGU-KYOKI
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 13,13,4,TOKITSUGU-KYOKI
2000,Apr 28,28,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 10,10,4,OYUDONONO-UENO-NIKKI
2000,Apr 29,29,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 02,2,4,TOKITSUGU-KYOKI
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 05,5,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,DAINIHON-SHIRYO
2000,Apr 11,11,4,OYUDONONO-UENO-NIKKI
2000,Apr 08,8,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 08,8,4,(SHIRYO-SORAN)
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI
2000,Apr 23,23,4,(SHIRYO-SORAN)
2000,Apr 06,6,4,(SHIRYO-SORAN)
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 15,15,4,ATOKAGAMI
2000,Apr 21,21,4,TOKITSUGU-KYOKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 16,16,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 07,7,4,EST-from-WF(MASAATSUKYO-EISO)
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 09,9,4,SHINCHO-KOKI
2000,Apr 11,11,4,DAINIHON-SHIRYO
2000,Apr 06,6,4,DAINIHON-SHIRYO
2000,Apr 14,14,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 15,15,4,SHUNKYUKI(DAIGO)
2000,Apr 14,14,4,UNONOMONDOKI
2000,Apr 15,15,4,OYUDONONO-UENO-NIKKI
2000,Apr 14,14,4,OYUDONONO-UENO-NIKKI
2000,Apr 14,14,4,OYUDONONO-UENO-NIKKI
2000,Apr 11,11,4,(SHIRYO-SORAN)
2000,Apr 03,3,4,HARETOYOKI
2000,Apr 07,7,4,TOKITSUNE-KYOKI
2000,Apr 22,22,4,TOKITSUNE-KYOKI(DAIGO)
2000,Apr 02,2,4,(DAINIHON-SHIRYO(FUSHIMI))
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI
2000,Apr 13,13,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 23,23,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 19,19,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 12,12,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 10,10,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 02,2,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 16,16,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 08,8,4,GIENJUNKO-NIKKI(DAIGO)
